"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/26/2015","Chipotle","CHIPOTLE 1899","11.39","debit","Fast Food","CREDIT CARD","",""
"8/26/2015","Transfer to Rent","Internet transfer to Interest Checking account XXXXXX5303","700.00","debit","Transfer","Restaurants","",""
"8/26/2015","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","150.00","debit","Transfer","Restaurants","",""
"8/26/2015","Transfer to Snacks","Internet transfer to Interest Checking account XXXXXX4453","30.00","debit","Transfer","Restaurants","",""
"8/26/2015","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","60.00","debit","Transfer","Restaurants","",""
"8/26/2015","Transfer to Rent","Internet transfer to Interest Checking account XXXXXX5303","927.00","debit","Transfer","Restaurants","",""
"8/26/2015","Transfer from Rent","Internet transfer from Interest Checking account XXXXXX5303","309.00","credit","Transfer","Bills","",""
"8/26/2015","Transfer from Rent","Internet transfer from Interest Checking account XXXXXX5303","700.00","credit","Transfer","Bills","",""
"8/26/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","30.00","credit","Transfer","Snacks","",""
"8/26/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","150.00","credit","Transfer","Luxuries","",""
"8/26/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","700.00","debit","Transfer","Rent","",""
"8/26/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","927.00","credit","Transfer","Rent","",""
"8/26/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","309.00","debit","Transfer","Rent","",""
"8/26/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","700.00","credit","Transfer","Rent","",""
"8/26/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","60.00","credit","Transfer","Groceries","",""
"8/26/2015","Bank America P","BANK OF AMERICA P2P","1920.00","credit","Income","Restaurants","",""
"8/26/2015","Lmi.Net","LMI.NET 510-843-6389 CA US","59.20","debit","Business Services","Bills","",""
"8/25/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","70.00","debit","Transfer","Restaurants","",""
"8/25/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","70.00","credit","Transfer","Bills","",""
"8/25/2015","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5303) sent mon","103.00","debit","Uncategorized","Rent","",""
"8/24/2015","Transfer to Snacks","Internet transfer to Interest Checking account XXXXXX4453","1.00","debit","Transfer","Bills","",""
"8/24/2015","Transfer to Rent","Internet transfer to Interest Checking account XXXXXX5303","105.00","debit","Transfer","Bills","",""
"8/24/2015","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","100.00","debit","Transfer","Bills","",""
"8/24/2015","Lucky","LUCKY #709 EL CERRIT EL CERRITO CA US","10.25","debit","Groceries","Snacks","",""
"8/24/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","1.00","credit","Transfer","Snacks","",""
"8/24/2015","Amazon","AMAZON.COM SEATTLE WA US","23.64","debit","Shopping","Luxuries","",""
"8/24/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","100.00","credit","Transfer","Luxuries","",""
"8/24/2015","Amazon","AMAZON.COM SEATTLE WA US","46.02","debit","Shopping","Luxuries","",""
"8/24/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","105.00","credit","Transfer","Rent","",""
"8/23/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","62.54","debit","Groceries","Groceries","",""
"8/20/2015","Interest Paid","Interest Paid","0.04","credit","Interest Income","Bills","",""
"8/19/2015","Chipotle","CHIPOTLE 0231 BERKELEY CA US","12.92","debit","Fast Food","Restaurants","",""
"8/19/2015","Giganews","GNI*GIGANEWS 512-225-5016 TX US","14.99","debit","Internet","Bills","",""
"8/18/2015","Transfer to CHASE COLLEGE","CHKG ODP 000000951314335","50.00","debit","Transfer","CREDIT CARD","",""
"8/18/2015","Walgreens","WALGREENS BERKELEY CA US","10.86","debit","Pharmacy","Snacks","",""
"8/17/2015","BART","BART-CLIPPER N BERKELE BERKELEYCA           08/15","20.00","debit","Public Transportation","CHASE COLLEGE","",""
"8/17/2015","Transfer from CREDIT CARD","ODP TRANSFER FROM CR CARD ************5724","50.00","credit","Transfer","CHASE COLLEGE","",""
"8/17/2015","Overdraft Fee","ODP TRANSFER FEE","10.00","debit","Bank Fee","CHASE COLLEGE","",""
"8/17/2015","Pappy's Grill LLC","PAPPY'S GRILL AND BERKELEY CA US","9.84","debit","Fast Food","Restaurants","",""
"8/17/2015","Tea Press","TEA PRESS BERKELEY CA US","3.50","debit","Coffee Shops","Snacks","",""
"8/17/2015","Bobby Gs Pizzeria","BOBBY GS PIZZERIA BERKELEY CA US","2.50","debit","Fast Food","Snacks","",""
"8/16/2015","Berkeley Surplus Center","BERKELEY SURPLUS","45.67","debit","Clothing","CREDIT CARD","",""
"8/16/2015","Quickly","QUICKLY","4.40","debit","Uncategorized","CREDIT CARD","",""
"8/16/2015","The UPS Store","THE UPS STORE 1179","91.77","debit","Business Services","CREDIT CARD","",""
"8/13/2015","McDonald's","MCDONALD'S F776 BERKELEY CA US","15.52","debit","Fast Food","Restaurants","",""
"8/12/2015","Statement Crdt","$50.00 Statement Crdt","50.00","credit","Credit Card Payment","CREDIT CARD","",""
"8/12/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","20.00","credit","Transfer","Snacks","",""
"8/12/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","100.00","credit","Transfer","Restaurants","",""
"8/12/2015","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","15.23","debit","Fast Food","Restaurants","",""
"8/12/2015","Transfer to Restaurants","Internet transfer to Interest Checking account XXXXXX5319","100.00","debit","Transfer","Bills","",""
"8/12/2015","Transfer to Snacks","Internet transfer to Interest Checking account XXXXXX4453","20.00","debit","Transfer","Bills","",""
"8/12/2015","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","100.00","debit","Transfer","Bills","",""
"8/12/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","100.00","credit","Transfer","Groceries","",""
"8/11/2015","T-Mobile","T-MOBILE PCS SVC","57.99","debit","Mobile Phone","Bills","",""
"8/10/2015","United","UNITED      0162921451710","6.99","debit","Uncategorized","CREDIT CARD","",""
"8/10/2015","Mealsquares Llc","MEALSQUARES LLC","90.00","debit","Uncategorized","CREDIT CARD","",""
"8/10/2015","United","UNITED      0162459751649","436.10","debit","Uncategorized","CREDIT CARD","",""
"8/09/2015","Amazon","AMAZON MKTPLACE PMTS","7.58","debit","Shopping","CREDIT CARD","",""
"8/09/2015","Amazon","AMAZON MKTPLACE PMTS","9.83","debit","Shopping","CREDIT CARD","",""
"8/09/2015","CVS","CVS 09086 El Cerrito CA US","2.18","debit","Pharmacy","Snacks","",""
"8/09/2015","Cardtronicslpc El Cerrito","CardtronicsLPC .670 EL CERRITO PLZ EL CERRITO CA US","100.00","debit","Public Transportation","Bills","",""
"8/09/2015","Arco","ARCO PAYPOINT ALBANY CA US","33.55","debit","Gas & Fuel","Bills","",""
"8/09/2015","Walgreens","WALGREENS BERKELEY CA US","2.29","debit","Pharmacy","Snacks","",""
"8/09/2015","CVS","CVS 09086 El Cerrito CA US","3.49","debit","Pharmacy","Snacks","",""
"8/07/2015","Transfer to CHASE COLLEGE","CHKG ODP 000000951314335","100.00","debit","Transfer","CREDIT CARD","",""
"8/07/2015","Safeway","SAFEWAY  STORE00006767","46.39","debit","Groceries","CREDIT CARD","",""
"8/07/2015","Amazon","AMAZON MKTPLACE PMTS","84.53","debit","Shopping","CREDIT CARD","",""
"8/06/2015","Check 221","CHECK 221","123.00","debit","Check","CHASE COLLEGE","",""
"8/06/2015","Transfer from CREDIT CARD","ODP TRANSFER FROM CR CARD ************5724","100.00","credit","Transfer","CHASE COLLEGE","",""
"8/06/2015","Overdraft Fee","ODP TRANSFER FEE","10.00","debit","Bank Fee","CHASE COLLEGE","",""
"8/06/2015","Amazon","Amazon.com","8.21","debit","Shopping","CREDIT CARD","",""
"8/06/2015","Kansas City Life Insurance","KANSAS CITY LIFE INS PREMS~ Future Amount: 177.5 ~ Tran: ACH","177.50","debit","Financial","Bills","",""
"8/03/2015","Savers","SAVERS 1206","4.36","debit","Shopping","CREDIT CARD","",""
"8/02/2015","Walgreens","WALGREENS BERKELEY CA US","4.33","debit","Pharmacy","Snacks","",""
"8/01/2015","Lucky","LUCKY #709 EL CERRIT EL CERRITO CA US","10.39","debit","Groceries","Groceries","",""
"7/31/2015","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        07/31","85.32","debit","Shopping","CHASE COLLEGE","",""
"7/31/2015","Sq Cafe La","SQ *CAFE LA RENAISSANC Berkeley CA US","3.56","debit","Restaurants","Snacks","",""
"7/31/2015","Chase Epay","CHASE EPAY","723.13","debit","Financial","Bills","",""
"7/31/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","32.80","debit","Groceries","Groceries","",""
"7/30/2015","Lucky","LUCKY #709 EL CERRI","10.25","debit","Groceries","CREDIT CARD","",""
"7/30/2015","Thank You Web","Payment Thank You - Web","723.13","credit","Credit Card Payment","CREDIT CARD","",""
"7/30/2015","Henry Smith","GOOGLE *Henry Smith","4.99","debit","Business Services","CREDIT CARD","",""
"7/30/2015","Dollar Tree","DOLLARTREE BERKELEY CA US","2.15","debit","Shopping","Snacks","",""
"7/30/2015","Wire Transfer","Wire Transfer","1050.00","credit","Transfer","Restaurants","",""
"7/30/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","1025.00","debit","Transfer","Restaurants","",""
"7/30/2015","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX4461) sent mon","193.07","debit","Uncategorized","Bills","",""
"7/30/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","1025.00","credit","Transfer","Bills","",""
"7/29/2015","Amazon","AmazonPrime Membersh amzn.com/prme NV        07/28","108.41","debit","Shopping","CHASE COLLEGE","",""
"7/29/2015","Walgreens","WALGREENS BERKELEY CA US","4.46","debit","Pharmacy","Snacks","",""
"7/29/2015","Ez Star Smog","EZ STAR SMOG TEST ONLY 2","58.00","debit","Service & Parts","CREDIT CARD","",""
"7/29/2015","Gandi","GANDI","50.00","debit","Uncategorized","CREDIT CARD","",""
"7/29/2015","Geico","GEICO GEICO PYMT","198.28","debit","Auto Insurance","Bills","",""
"7/28/2015","Chase Epay","CHASE EPAY","25.00","debit","Financial","Bills","",""
"7/28/2015","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","100.00","debit","Transfer","Bills","",""
"7/28/2015","Eric Swanson Sent","ERIC SWANSON sent money to ZACHARY VANCE (Ally Interest Chec","1000.00","credit","Interest Income","Bills","",""
"7/28/2015","Transfer from Bills","Internet transfer from Interest Checking account XXXXXX4461","100.00","credit","Transfer","Groceries","",""
"7/27/2015","Thank You Web","Payment Thank You - Web","25.00","credit","Credit Card Payment","CREDIT CARD","",""
"7/24/2015","Overdraft Interest Charge","OVERDRAFT INTEREST CHARGE","2.51","debit","Finance Charge","CREDIT CARD","",""
"7/20/2015","ATM Fee Refund","ATM Fee Reimbursement","2.95","credit","ATM Fee","Bills","",""
"7/20/2015","Interest Paid","Interest Paid","0.02","credit","Interest Income","Bills","",""
"7/20/2015","Giganews","GNI*GIGANEWS 512-225-5016 TX US","14.99","debit","Internet","Bills","",""
"7/14/2015","Amazon","AMAZON MKTPLACE PMTS","66.58","debit","Shopping","CREDIT CARD","",""
"7/14/2015","Amazon","AMAZON MKTPLACE PMTS","29.99","debit","Shopping","CREDIT CARD","",""
"7/13/2015","Power Bowl","POWER BOWL SAN JOSE CA US","5.99","debit","Uncategorized","Snacks","",""
"7/13/2015","Overdraft Fee","Fee for Overdraft Item Paid","9.00","debit","Bank Fee","Groceries","",""
"7/13/2015","T-Mobile","T-MOBILE PCS SVC","57.97","debit","Mobile Phone","Groceries","",""
"7/08/2015","Chase Epay","CHASE EPAY","25.00","debit","Financial","Bills","",""
"7/07/2015","Transfer from CREDIT CARD","ALLY BANK        P2P        ZACHARY A VANCE WEB ID: 1770527921","200.00","credit","Transfer","CHASE COLLEGE","",""
"7/07/2015","Transfer to CHASE COLLEGE","CHKG ODP 000000951314335","200.00","debit","Transfer","CREDIT CARD","",""
"7/07/2015","Thank You Web","Payment Thank You - Web","25.00","credit","Credit Card Payment","CREDIT CARD","",""
"7/07/2015","Walgreens","WALGREENS #2314","3.87","debit","Pharmacy","CREDIT CARD","",""
"7/07/2015","Safeway","SAFEWAY  STORE00006767","22.45","debit","Groceries","CREDIT CARD","",""
"7/06/2015","Odp Transfer Cr","ODP TRANSFER FROM CR CARD ************5724","200.00","credit","Transfer","CHASE COLLEGE","",""
"7/06/2015","Kansas City Life Insuranc","KANSAS CITY LIFE INS PREMSPPD ID: 940308260K","15.39","debit","Financial","CHASE COLLEGE","",""
"7/06/2015","Overdraft Fee","ODP TRANSFER FEE","10.00","debit","Bank Fee","CHASE COLLEGE","",""
"7/06/2015","Chipotle","CHIPOTLE 0231","9.03","debit","Fast Food","CREDIT CARD","",""
"7/06/2015","Requested Transfer Zachary","Requested transfer to ZACHARY A VANCE (J.P. MORGAN CHASE BAN","200.00","debit","Transfer","Bills","",""
"7/03/2015","Non-Sufficient Funds Fee","INSUFFICIENT FUNDS FEE REFUND","19.00","credit","Bank Fee","CHASE COLLEGE","",""
"7/03/2015","Extended Od Fee","EXTENDED OD FEE REVERSAL","15.00","credit","Reimbursement","CHASE COLLEGE","",""
"7/03/2015","Non-Sufficient Funds Fee","INSUFFICIENT FUNDS FEE REFUND","34.00","credit","Bank Fee","CHASE COLLEGE","",""
"7/03/2015","Non-Sufficient Funds Fee","INSUFFICIENT FUNDS FEE REFUND","34.00","credit","Bank Fee","CHASE COLLEGE","",""
"7/02/2015","House of Curl","HOUSE OF CURRY","16.32","debit","Personal Care","CREDIT CARD","",""
"7/01/2015","Safeway","SAFEWAY  STORE00006767","11.30","debit","Groceries","CREDIT CARD","",""
"6/30/2015","Berkeley Natural Grocery","BERKELEY NATURAL GR","5.98","debit","Food & Dining","CREDIT CARD","",""
"6/29/2015","AMC","AMC BAY STREET 16 #0215","19.92","debit","Movies & DVDs","CREDIT CARD","",""
"6/29/2015","AMC","AMC BAY STREET 16 #0215","12.49","debit","Movies & DVDs","CREDIT CARD","",""
"6/29/2015","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","16.48","debit","Fast Food","Restaurants","",""
"6/28/2015","Gallegos Mexican Food","GALLEGOS MEXICAN FOOD","9.31","debit","Restaurants","CREDIT CARD","",""
"6/28/2015","Lucky","LUCKY #709 EL CERRI","20.15","debit","Groceries","CREDIT CARD","",""
"6/28/2015","Goodwill Industries","GOODWILL INDUSTRIES 237","29.98","debit","Shopping","CREDIT CARD","",""
"6/26/2015","Research Institute","Payment To Machine Intelligence Research Institute","5.00","debit","Business Services","PayPal Account","",""
"6/26/2015","Amazon","AMAZON MKTPLACE PMTS","55.09","debit","Shopping","CREDIT CARD","",""
"6/25/2015","Wing Stop","WINGSTOP #477","12.85","debit","Restaurants","CREDIT CARD","",""
"6/25/2015","Uber","UBER","12.61","debit","Alcohol & Bars","CREDIT CARD","",""
"6/25/2015","McDonald's","MCDONALD'S F776","8.62","debit","Fast Food","CREDIT CARD","",""
"6/23/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","23.42","debit","Groceries","Groceries","",""
"6/22/2015","7-Eleven","7-ELEVEN BERKELEY CA US","2.97","debit","Fast Food","Snacks","",""
"6/22/2015","Amazon","AMAZON.COM SEATTLE WA US","7.99","debit","Shopping","Snacks","",""
"6/22/2015","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","13.98","debit","Fast Food","Restaurants","",""
"6/22/2015","7-Eleven","CT 7-11 2000 SAN PABLO AVE BERKELEY CA US","220.00","debit","Fast Food","Bills","",""
"6/21/2015","Chipotle","CHIPOTLE 0231 BERKELEY CA US","11.59","debit","Fast Food","Restaurants","",""
"6/21/2015","Shattuc 3000 Shattuck Avenue","3000 SHATTUC-26 3000 SHATTUCK AVENUE BERKELEY CA US","202.95","debit","Uncategorized","Bills","",""
"6/21/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","25.79","debit","Groceries","Groceries","",""
"6/20/2015","Interest Paid","Interest Paid","0.01","credit","Interest Income","Restaurants","",""
"6/20/2015","Interest Paid","Interest Paid","0.06","credit","Interest Income","Bills","",""
"6/20/2015","Interest Paid","Interest Paid","0.01","credit","Interest Income","Groceries","",""
"6/20/2015","Giganews","GNI*GIGANEWS 512-225-5016 TX US","14.99","debit","Internet","Bills","",""
"6/18/2015","Steven Kaas","Payment From Steven Kaas","30.00","credit","Income","PayPal Account","",""
"6/17/2015","Arco","ARCO PAYPOINT ALBANY CA US","33.42","debit","Gas & Fuel","Bills","",""
"6/17/2015","Lucky","LUCKY #709.EL C EL CERRITO CA US","23.56","debit","Groceries","Groceries","",""
"6/16/2015","Steam Games","STEAMPOWERED.COM","1.49","debit","Entertainment","CREDIT CARD","",""
"6/16/2015","Walgreens","WALGREENS BERKELEY CA US","4.76","debit","Pharmacy","Snacks","",""
"6/16/2015","McDonald's","MCDONALD'S F776 BERKELEY CA US","12.88","debit","Fast Food","Restaurants","",""
"6/15/2015","Grocery Outlet","GROCERY OUTLET BERKELEY CA US","4.29","debit","Groceries","Snacks","",""
"6/15/2015","Chipotle","CHIPOTLE 0231 BERKELEY CA US","10.24","debit","Fast Food","Restaurants","",""
"6/15/2015","CA State Tax","FRANCHISE TAX BO PAYMENTS","255.52","debit","State Tax","Bills","",""
"6/15/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","20.47","debit","Groceries","Groceries","",""
"6/14/2015","Steam Games","STEAMPOWERED.COM","17.99","debit","Entertainment","CREDIT CARD","",""
"6/13/2015","Lucky","LUCKY #709.EL C EL CERRITO CA US","3.29","debit","Groceries","Snacks","",""
"6/13/2015","Sq L L","SQ *L & L CHINESE REST Richmond CA US","25.55","debit","Restaurants","Restaurants","",""
"6/11/2015","Amazon","AMAZON.COM SEATTLE WA US","57.18","debit","Shopping","Snacks","",""
"6/11/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","80.00","credit","Transfer","Snacks","",""
"6/11/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","220.00","debit","Transfer","Restaurants","",""
"6/11/2015","Transfer to Snacks","Internet transfer to Interest Checking account XXXXXX4453","80.00","debit","Transfer","Restaurants","",""
"6/11/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","220.00","credit","Transfer","Bills","",""
"6/11/2015","PayPal","INSUFFICIENT FUNDS FEE FOR A $6.95 ITEM - DETAILS: PAYPAL","34.00","debit","Shopping","CHASE COLLEGE","",""
"6/11/2015","Overdraft Fee","EXTENDED OVERDRAFT FEE","15.00","debit","Bank Fee","CHASE COLLEGE","",""
"6/11/2015","Steam Games","STEAMGAMES.COM 425-952-2985 WA06/10","14.99","debit","Entertainment","CHASE COLLEGE","",""
"6/11/2015","PayPal","PAYPAL           INST XFER  LONDONTRUST     WEB ID: PAYPALSI77","6.95","debit","Shopping","CHASE COLLEGE","",""
"6/11/2015","Steam Games","STEAMGAMES.COM 425-952-2985 WA06/10","3.34","debit","Entertainment","CHASE COLLEGE","",""
"6/11/2015","Non-Sufficient Funds Fee","INSUFFICIENT FUNDS FEE FOR A $14.99 RECURRING CARD PURCHASE - DE","34.00","debit","Bank Fee","CHASE COLLEGE","",""
"6/11/2015","Chipotle","CHIPOTLE 0231 BERKELEY CA US","11.72","debit","Fast Food","Restaurants","",""
"6/11/2015","Bank America P","BANK OF AMERICA P2P","360.00","credit","Income","Restaurants","",""
"6/11/2015","Chop Salon","CHOP SALON BERKELEY CA US","128.00","debit","Personal Care","Bills","",""
"6/10/2015","Recurring London Trust","Recurring payment To London Trust Media Inc.","6.95","debit","Uncategorized","PayPal Account","",""
"6/10/2015","House of Currys","HOUSE OF CURRY ALBANY CA US","10.90","debit","Uncategorized","Restaurants","",""
"6/10/2015","Non-Sufficient Funds Fee","INSUFFICIENT FUNDS FEE FOR A $57.92 RECURRING CARD PURCHASE - DE","34.00","debit","Bank Fee","CHASE COLLEGE","",""
"6/10/2015","T-Mobile","T-MOBILE RECURRING PM 800-937-8997 WA        06/10","57.92","debit","Mobile Phone","CHASE COLLEGE","",""
"6/08/2015","See's Candies","SEES CANDIES 549 EL CERRITO CA US","3.52","debit","Coffee Shops","Snacks","",""
"6/08/2015","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","16.53","debit","Fast Food","Restaurants","",""
"6/06/2015","Netflix","NETFLIX.COM LOS GATOS CA US","7.99","debit","Movies & DVDs","Bills","",""
"6/05/2015","Lucky","LUCKY #709 EL CERRIT EL CERRITO CA US","5.87","debit","Groceries","Groceries","",""
"6/04/2015","Insufficient Funds Fee","INSUFFICIENT FUNDS FEE FOR A $15.39 ITEM - DETAILS: KANSAS CITY","34.00","debit","Bank Fee","CHASE COLLEGE","",""
"6/04/2015","Kansas City Life Insuranc","KANSAS CITY LIFE INS PREMSPPD ID: 940308260K","15.39","debit","Financial","CHASE COLLEGE","",""
"6/03/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","11.11","debit","Groceries","Groceries","",""
"6/02/2015","Domino's Pizza","DOMINO'S 6607 972-219-1717 TX US","17.94","debit","Fast Food","Restaurants","",""
"6/02/2015","Gandi Uxembourg Fr","GANDI UXEMBOURG FR","15.62","debit","Uncategorized","Bills","",""
"6/02/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","13.22","debit","Groceries","Groceries","",""
"6/01/2015","Safeway","SAFEWAY  STORE00006767","6.99","debit","Groceries","CREDIT CARD","",""
"6/01/2015","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","21.51","debit","Fast Food","Restaurants","",""
"5/31/2015","7-Eleven","7-ELEVEN 16192","4.05","debit","Fast Food","CREDIT CARD","",""
"5/31/2015","Chinese Restaurant","SQ *L & L CHINESE RESTAUR","18.15","debit","Restaurants","CREDIT CARD","",""
"5/31/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX5295","200.00","debit","Transfer","Restaurants","",""
"5/31/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","500.00","debit","Transfer","Restaurants","",""
"5/31/2015","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX4461","200.00","debit","Transfer","Restaurants","",""
"5/31/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","500.00","credit","Transfer","Bills","",""
"5/31/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","200.00","credit","Transfer","Bills","",""
"5/31/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","57.13","debit","Groceries","Groceries","",""
"5/31/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","200.00","credit","Transfer","Groceries","",""
"5/29/2015","Tokyo Fish Market","TOKYO FISH MARKET","7.42","debit","Groceries","CREDIT CARD","",""
"5/29/2015","Tokyo Fish Market","TOKYO FISH MARKET","10.07","debit","Groceries","CREDIT CARD","",""
"5/29/2015","Bank America P","BANK OF AMERICA P2P","1000.00","credit","Income","Restaurants","",""
"5/29/2015","Chase Epay Future","CHASE EPAY~ Future Amount: 270.24 ~ Tran: ACHDW","270.24","debit","Financial","Bills","",""
"5/28/2015","Thank You Web","Payment Thank You - Web","270.24","credit","Credit Card Payment","CREDIT CARD","",""
"5/28/2015","Safeway","SAFEWAY  STORE00006767","49.92","debit","Groceries","CREDIT CARD","",""
"5/28/2015","Wing Stop","WINGSTOP #477 EL CERRITO CA US","12.09","debit","Restaurants","Restaurants","",""
"5/28/2015","Toot Sweets","TOOT SWEETS BERKELEY CA US","7.50","debit","Uncategorized","Groceries","",""
"5/27/2015","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","480.00","debit","Transfer","Restaurants","",""
"5/27/2015","Bank America P","BANK OF AMERICA P2P","480.00","credit","Income","Restaurants","",""
"5/27/2015","Transfer from Restaurants","Internet transfer from Interest Checking account XXXXXX5319","480.00","credit","Transfer","Bills","",""
"5/26/2015","AMC","AMC BAY STREET 16 #0215","16.49","debit","Movies & DVDs","CREDIT CARD","",""
"5/25/2015","Lalimes","LALIMES","49.42","debit","Restaurants","CREDIT CARD","",""
"5/25/2015","Fred's Market","FRED`S MARKET B1","10.48","debit","Groceries","CREDIT CARD","",""
"5/25/2015","Safeway","SAFEWAY  STORE00006767","2.99","debit","Groceries","CREDIT CARD","",""
"5/24/2015","Besame Limited","BESAME LIMITED(866)883-17","20.28","debit","Uncategorized","CREDIT CARD","",""
"5/24/2015","Parkingfine Paybyweb","PARKINGFINE- PAYBYWEB","51.00","debit","Parking","CREDIT CARD","",""
"5/24/2015","Besame Limited","BESAME LIMITED(866)883-17","20.28","debit","Uncategorized","CREDIT CARD","",""
"5/22/2015","7-Eleven","7-ELEVEN 14202","4.16","debit","Fast Food","CREDIT CARD","",""
"5/22/2015","Safeway","SAFEWAY  STORE00006767","18.07","debit","Groceries","CREDIT CARD","",""
"5/20/2015","Bountify","BOUNTIFY.CO","12.99","debit","Uncategorized","CREDIT CARD","",""
"5/20/2015","Lucky","LUCKY #709 EL CERRI","10.68","debit","Groceries","CREDIT CARD","",""
"5/19/2015","Eastbay","EAST BAY REST SUPPLY OAK","13.65","debit","Sporting Goods","CREDIT CARD","",""
"5/19/2015","Orinda","ORINDA 76","25.00","debit","Uncategorized","CREDIT CARD","",""
"5/18/2015","Wing Stop","WINGSTOP #477 EL CERRITO CA05/16","12.09","debit","Restaurants","CHASE COLLEGE","",""
"5/15/2015","Wiki Wiki Hawalla","WIKI WIKI HAWALLA BBQ BERKELEY CA            05/13","8.50","debit","Restaurants","CHASE COLLEGE","",""
"5/15/2015","Gandi Uxembourg","GANDI UXEMBOURG05/14","15.50","debit","Uncategorized","CHASE COLLEGE","",""
"5/14/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA662341  05/13","52.97","debit","Groceries","CHASE COLLEGE","",""
"5/12/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA830123  05/11","7.25","debit","Groceries","CHASE COLLEGE","",""
"5/11/2015","Quickly El Cerrito","QUICKLY EL CERRITO CA05/09","3.58","debit","Food & Dining","CHASE COLLEGE","",""
"5/11/2015","T-Mobile","T-MOBILE RECURRING PM 800-937-8997 WA        05/10","57.92","debit","Mobile Phone","CHASE COLLEGE","",""
"5/11/2015","PayPal","PAYPAL           INST XFER  LONDONTRUST     WEB ID: PAYPALSI77","6.95","debit","Shopping","CHASE COLLEGE","",""
"5/10/2015","Recurring London Trust","Recurring payment To London Trust Media Inc.","6.95","debit","Uncategorized","PayPal Account","",""
"5/08/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA296639  05/07","24.05","debit","Groceries","CHASE COLLEGE","",""
"5/07/2015","Safeway","SAFEWAY  STORE  0676 ALBANY CA301453  05/07","12.57","debit","Groceries","CHASE COLLEGE","",""
"5/06/2015","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/05","39.89","debit","Shopping","CHASE COLLEGE","",""
"5/06/2015","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/06","9.89","debit","Shopping","CHASE COLLEGE","",""
"5/06/2015","Kansas City Life Insuranc","KANSAS CITY LIFE INS PREMSPPD ID: 940308260K","15.39","debit","Financial","CHASE COLLEGE","",""
